************Token*************************Lexeme*********************Line Number**********
             MAIN                         main()                          1               
           NEWLINE                       newline                          1               
             TAB                          (tab)                           2               
          DATA_TYPE                       string                          2               
          IDENTIFIER                        s                             2               
             ASMT                           =                             2               
           LITERAL            "Sum of first 10 numbers is "               2               
          SEMI_COLON                        ;                             2               
           NEWLINE                       newline                          2               
             TAB                          (tab)                           3               
          DATA_TYPE                        int                            3               
          IDENTIFIER                       sum                            3               
             ASMT                           =                             3               
            NUMBER                          0                             3               
          SEMI_COLON                        ;                             3               
           NEWLINE                       newline                          3               
             TAB                          (tab)                           4               
             FOR                           for                            4               
         OPEN_BRACKET                       (                             4               
          DATA_TYPE                        int                            4               
          IDENTIFIER                        i                             4               
             ASMT                           =                             4               
            NUMBER                          0                             4               
          SEMI_COLON                        ;                             4               
          IDENTIFIER                        i                             4               
            REL_OP                          <                             4               
          IDENTIFIER                       len                            4               
          SEMI_COLON                        ;                             4               
          LOW_ARITH                         +                             4               
            NUMBER                          1                             4               
        CLOSE_BRACKET                       )                             4               
           NEWLINE                       newline                          4               
             TAB                          (tab)                           5               
             TAB                          (tab)                           5               
          IDENTIFIER                       sum                            5               
             ASMT                           =                             5               
          IDENTIFIER                       sum                            5               
          LOW_ARITH                         +                             5               
          IDENTIFIER                        i                             5               
          SEMI_COLON                        ;                             5               
           NEWLINE                       newline                          5               
             TAB                          (tab)                           6               
              OP                          output                          6               
         OPEN_BRACKET                       (                             6               
          IDENTIFIER                        s                             6               
        CLOSE_BRACKET                       )                             6               
          SEMI_COLON                        ;                             6               
           NEWLINE                       newline                          6               
             TAB                          (tab)                           7               
              OP                          output                          7               
         OPEN_BRACKET                       (                             7               
          IDENTIFIER                       sum                            7               
        CLOSE_BRACKET                       )                             7               
          SEMI_COLON                        ;                             7               
           NEWLINE                       newline                          7               
             TAB                          (tab)                           8               
          OP_NEWLINE                    newline()                         8               
          SEMI_COLON                        ;                             8               
           NEWLINE                       newline                          8               
