       |       [AS]       |     [CB]      |    [CC]     |         [CL]          | [CO] |       [C]        |              [DT]               |                 [E]                  |      [HA]       |        [ID]         |                             [IF]                             |      [LA]       |                [LO]                |        [L]         |         [M]          | [NL] |         [N]         |        [OB]         |    [ON]     |      [OP]       |           [RO]            |      [R]       |    [SC]     |               [T]                |                           [W]                           |      $      | 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 {ce}  |       skip       |     skip      |    skip     |         skip          | skip |       skip       |              skip               | {ce} = [E] [NL] [CO] [NL] {sts} [CC] |      skip       |        skip         |                             skip                             |      skip       |                skip                |        skip        |         skip         | skip |        skip         |        skip         |    skip     |      skip       |           skip            |      skip      | {ce} = [~]  |               skip               |                          skip                           |    skip     | 
 {c}   |       skip       |     skip      |    skip     |         skip          | skip |       skip       |              skip               |                 skip                 |      skip       |        skip         | {c} = [IF] [OB] {t} {e1} [CB] [NL] [CO] [NL] {sts} [CC] {ce} |      skip       |                skip                |        skip        |         skip         | skip |        skip         |        skip         |    skip     |      skip       |           skip            |      skip      |    sync     |               skip               |                          skip                           |    skip     | 
 {e1}  |       skip       |  {e1} = [~]   |    skip     |         skip          | skip |    {e1} = [~]    |              skip               |                 skip                 |      skip       |        skip         |                             skip                             |      skip       |                skip                |        skip        |         skip         | skip |        skip         |        skip         |    skip     |      skip       | {e1} = [RO] {t} {ha} {e2} |      skip      | {e1} = [~]  |               skip               |                          skip                           |    skip     | 
 {e2}  |       skip       |  {e2} = [~]   |    skip     |         skip          | skip |    {e2} = [~]    |              skip               |                 skip                 |      skip       |        skip         |                             skip                             |      skip       | {e2} = [LO] {t} {ha} [RO] {t} {ha} |        skip        |         skip         | skip |        skip         |        skip         |    skip     |      skip       |           skip            |      skip      | {e2} = [~]  |               skip               |                          skip                           |    skip     | 
{elf}  |       skip       |  {elf} = [~]  |    skip     |         skip          | skip | {elf} = [C] {ex} |              skip               |                 skip                 |      skip       |        skip         |                             skip                             |      skip       |                skip                |        skip        |         skip         | skip |        skip         |        skip         |    skip     |      skip       |           skip            |      skip      |    skip     |               skip               |                          skip                           |    skip     | 
 {ex}  |       skip       |     sync      |    skip     |   {ex} = {e} {elf}    | skip |       skip       |              skip               |                 skip                 |      skip       |  {ex} = {e} {elf}   |                             skip                             |      skip       |                skip                |  {ex} = {e} {elf}  |         skip         | skip |  {ex} = {e} {elf}   |        skip         |    skip     |      skip       |           skip            |      skip      |    skip     |               skip               |                          skip                           |    skip     | 
 {e}   |       skip       |     sync      |    skip     | {e} = [CL] [ID] {st2} | skip |       sync       |              skip               |                 skip                 |      skip       | {e} = {t} {ha} {e1} |                             skip                             |      skip       |                skip                |     {e} = [L]      |         skip         | skip | {e} = {t} {ha} {e1} |        skip         |    skip     |      skip       |           skip            |      skip      |    sync     |               skip               |                          skip                           |    skip     | 
{fclf} |       skip       | {fclf} = [CB] |    skip     |  {fclf} = {ex} [CB]   | skip |       sync       |              skip               |                 skip                 |      skip       | {fclf} = {ex} [CB]  |                             skip                             |      skip       |                skip                | {fclf} = {ex} [CB] |         skip         | skip | {fclf} = {ex} [CB]  |        skip         |    skip     |      skip       |           skip            |      skip      |    sync     |               skip               |                          skip                           |    skip     | 
 {fh}  |       skip       |     skip      |    skip     |         skip          | skip |       skip       | {fh} = [DT] [ID] [OB] {pl} [CB] |                 skip                 |      skip       |        skip         |                             skip                             |      skip       |                skip                |        skip        |         skip         | sync |        skip         |        skip         |    skip     |      skip       |           skip            |      skip      |    skip     |               skip               |                          skip                           |    skip     | 
