                                                   |                        ASMT                        |                   CLOSE_BRACKET                    |                       COMMA                        |                     DATA_TYPE                      |                        ELSE                        |                        FOR                         |                     HIGH_ARITH                     |                     IDENTIFIER                     |                         IF                         |                      LITERAL                       |                     LOGICAL_OP                     |                     LOW_ARITH                      |                        MAIN                        |                      NEWLINE                       |                       NUMBER                       |                       NUMER                        |                         OP                         |                    OPEN_BRACKET                    |                     OP_NEWLINE                     |                       REL_OP                       |                       RETURN                       |                     SEMI_COLON                     |                        TAB                         |                         $                          | 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
              ARITHMETIC_EXPRESSION                |                        skip                        |                        sync                        |                        sync                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |    ARITHMETIC_EXPRESSION = TERM high_arith TERM    |                        skip                        |                        skip                        |                        sync                        |                        skip                        |                        skip                        |                        sync                        |                        skip                        |    ARITHMETIC_EXPRESSION = TERM high_arith TERM    |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        sync                        |                        skip                        |                        skip                        | 
               ASSIGNMENT_STATEMENT                |                        skip                        |                        skip                        |                        skip                        | ASSIGNMENT_STATEMENT = data_type identifier asmt EXPRESSION |                        skip                        |                        skip                        |                        skip                        | ASSIGNMENT_STATEMENT = identifier asmt EXPRESSION  |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        sync                        |                        skip                        |                        skip                        | 
                   CONDITIONAL                     |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        | CONDITIONAL = if LOGICAL_EXPRESSION newline STATEMENTS |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        sync                        |                        skip                        |                        skip                        | 
              DECLARATION_STATEMENT                |                        skip                        |                        skip                        |                        skip                        |    DECLARATION_STATEMENT = data_type identifier    |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        sync                        |                        skip                        |                        skip                        | 
                    EXPRESSION                     |                        skip                        |                        sync                        |                        sync                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |         EXPRESSION = RELATIONAL_EXPRESSION         |                        skip                        |     EXPRESSION = literal ARITHMETIC_EXPRESSION     |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |         EXPRESSION = RELATIONAL_EXPRESSION         |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        sync                        |                        skip                        |                        skip                        | 
                   EXPRESSIONS                     |                        skip                        |                        sync                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |              EXPRESSIONS = EXPRESSION              |                        skip                        |              EXPRESSIONS = EXPRESSION              |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |              EXPRESSIONS = EXPRESSION              |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        | 
                      FACTOR                       |                        skip                        |                        sync                        |                        sync                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                FACTOR = identifier                 |                        skip                        |                        skip                        |                        sync                        |                        skip                        |                        skip                        |                        sync                        |                        skip                        |                   FACTOR = numer                   |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        sync                        |                        skip                        |                        skip                        | 
                     FUNCTION                      |                        skip                        |                        skip                        |                        skip                        |  FUNCTION = FUNCTION_HEADER newline FUNCTION_BODY  |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        sync                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        | 
                  FUNCTION_BODY                    |                        skip                        |                        skip                        |                        skip                        |                        sync                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        sync                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        |                        skip                        | FUNCTION_BODY = STATEMENTS tab RETURN_TYPE semi_colon newline |                        skip                        | 
